"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","75.8957865285927","72.1392321171143","72.8984719232692","70.1525836362813","70.5004694346224","69.6896996318636","68.3766759277346","69.8101768940084","70.390446050426","72.9195306891863","74.2870895663637","75.1107183403931","75.5587320712664","74.9456525148335","74.3053815030624","72.6435897005267","75.6526287028451","72.4076655591772","72.6135454262326","74.0804617097839","73.4779902315076","74.6161235134069","76.2379765218316","75.2820390647482","74.4730507482303","75.2083757800173","74.9854282958494","72.6594377361707","72.1005080577031","71.504192826516","71.157463093386","70.6571246612449","71.5546469861776","71.0465945168078","70.7398007806962","70.0930364721894","69.9079800815798","69.1100163541318","67.4775373303125","67.3066092787674","66.5282197491909","66.180818486467","64.4899675802862","62.3228673544471","61.2245025273491","","","","","","","","",
"Afghanistan","AFG","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","0","0.0109109560311327","0","0.496015126981383","0.424213190522481","0.415196625686333","0.377526805947214","0","0","0","0","0","0.0208281831007985","0.037727858546465","0.0182902907691933","0.0248416512273563","0.0235331063534943","0.0416321248339284","0.0388853953265628","0.0439372407824414","0.0422080185115135","0.0436405904212875","0","0","0","0","0","0","0","0.358191418209784","0.337248555589779","0.308242693177095","0.338242021484093","0.308601201389011","0.315286454908922","0.316650588572767","0.295584356293791","0.334304582144652","0.366478323266743","0.333267691685614","0.400330768055593","0.378718060745261","0.337532287478308","0.3363529732492","0.296089575980402","","","","","","","","",
"Angola","AGO","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Albania","ALB","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Andorra","AND","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","1.16455944060836","2.28904834137983","2.42459524459605","2.38321107126466","2.62197096374619","2.26114110154551","1.94924513466374","1.72616787483235","1.03056257954092","1.00877541582449","1.03301509450852","0.833288897499183","0.912666470456641","0.736118174203226","0.612186688411083","1.05339137835411","1.26642690338635","1.12475505604777","0.814318841259768","0.87514835693802","0.719844106829741","0.591935430759087","0.826269821382502","0.905884588007303","1.76123989061134","1.66366812148997","1.69426348533585","1.83126257669158","1.60440263757944","1.91643753471113","2.39299911201122","2.22694512836348","2.15940798148108","2.17047279629095","2.03027631582715","1.93451388234905","1.75657399583293","1.52824874633972","1.35518080792245","1.23121090815313","1.28166808519449","1.23132901364569","1.20552464504846","1.47946375253481","1.51388234999805","","","","","","","","",
"United Arab Emirates","ARE","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Argentina","ARG","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","3.08584490348798","2.43025369477594","2.36675293499869","2.4257602862254","2.2151790887094","2.07505957108817","1.65057230123716","2.26117126278639","1.80654074015037","2.06266055507984","2.30181003630372","1.83773755202327","2.09287724112271","1.29208735489036","1.34099193637468","2.0672203742628","1.95238186744557","3.0356390919879","1.71249826770406","1.30074891604257","1.72687093224922","1.49245718580555","1.91633103806678","3.63991504797929","2.8471237782586","2.75091123037626","2.6224791833799","2.44284710587472","2.61722196676899","2.00314925205264","1.51140209732009","0.960297443548483","1.01814625665544","1.67523586082963","2.06652700230351","1.86583574282533","2.17939766326863","1.59287523436729","1.43948031069809","2.40533916639391","2.83586121724364","2.9205099279642","2.54892937775924","2.21728366463494","2.02956738894983","","","","","","","","",
