station,latitute,longitude,elevation,T
60060099999,29.368983,-10.180267,59.0,19.559817351598177
71226099999,55.3833333,-116.4666666,602.0,2.2359550561797743
59632099999,21.95,108.6166666,6.0,22.295426642111728
72785024157,47.62168,-117.52796,717.7,9.114003044140032
86674099999,-13.5333333,-40.1166666,757.11,20.55311355311356
89272099999,-74.8,-71.4833333,1589.0,-18.77223761157279
72411353881,37.2075,-80.40778,649.8,12.220547945205482
60210099999,31.9475,-4.398333,1044.85,21.986453576864537
72288623130,34.21214,-118.49146,239.2,20.249162861491627
72758494038,46.0108,-102.65179,823.2,6.085996955859968
68835099999,-33.7666666,24.8166666,85.0,18.63118580765639
92076099999,-2.5666666,150.8166666,4.0,30.72222222222222
94321099999,-23.2666666,129.3666666,455.0,25.269101978691012
71990099999,63.25,-130.0333333,1379.0,-5.93543956043956
26045099999,59.5166666,26.55,3.0,7.045814307458143
28916099999,52.9333333,54.75,190.0,4.8337899543379
72063600222,38.35,-93.683,251.2,13.149315068493156
91943099999,-14.4833333,-145.0333333,3.0,25.555555555555557
72061600207,36.533,-93.2,397.2,14.409132420091323
72352803981,34.35307,-98.98762,378.2,17.863095238095244
71620099999,44.225277,-76.596944,92.96,8.777321156773207
30089099999,59.0166666,121.7666666,175.0,-5.635159817351598
71221099999,56.3,-119.7333333,630.0,2.2907407407407416
40879099999,27.236169,60.720033,620.87,28.772450532724502
57662099999,29.05,111.6833333,35.0,18.31215469613259
99999903758,35.9705,-79.0931,171.3,15.043987823439883
37549099999,41.75,44.7666666,427.0,14.577625570776256
72320093801,34.34833,-85.16155,194.8,16.928614916286147
38353199999,43.061306,74.477556,627.27,12.379604261796047
85488099999,-29.916233,-71.199522,146.6,13.592799503414025
68816099999,-33.964806,18.601667,46.02,17.381430745814313
17237599999,37.785567,29.701297,851.91,13.014307458143072
86170099999,-24.7417,-58.8359,86.0,24.14199255121042
72295603167,33.92353,-118.33291,16.6,18.577321156773216
95977099999,-42.9833333,147.0666666,65.0,11.336377473363774
47818099999,32.7333333,130.2666666,679.8,13.226555246053854
83768099999,-23.333625,-51.130072,569.06,22.169710806697115
97180099999,-5.061853,119.553997,14.32,26.536073059360728
