station,latitute,longitude,elevation,T
72520599999,40.35,-79.917,382.0,11.54870624048706
71891099999,50.23,-121.58,229.0,10.230441400304418
87270099999,-29.1833333,-59.7,48.0,20.611872146118724
70273599999,61.2,-149.833,42.0,3.671385083713853
93404099999,-40.3166666,175.6,39.0,13.099695585996962
31655099999,49.45,136.5666667,29.0,0.8813060971835343
72539514833,42.26373,-84.45644,295.9,9.697564687975644
07292099999,47.783131,6.364056,278.28,10.217490842490843
94828099999,-38.3166666,141.4666666,82.0,13.266971080669713
06771099999,45.85,8.9333333,352.35,11.276560121765604
07770099999,41.3666666,9.1666666,116.0,16.731251913070096
01052099999,70.6833333,23.6833333,81.0,2.3730158730158735
22954099999,60.4666666,40.2,202.0,2.374999999999999
47136099999,36.5666666,128.7,141.59,11.736681887366819
38001099999,43.86005,51.091978,22.25,12.784798534798531
72381603159,34.74121,-118.21255,712.6,17.29223744292237
44213099999,49.65,94.4,1232.0,-1.9870624048706236
29430099999,56.5,84.9166666,139.0,1.101953601953601
91812099999,-10.9145,-165.8393,4.57,26.555555555555557
87129099999,-27.765617,-64.310122,199.94,20.50730593607306
82317099999,-3.382944,-64.724056,56.08,27.994520547945196
78954099999,13.074603,-59.492456,51.51,27.049280685644323
95600099999,-30.3,115.0333333,5.0,18.85332074283916
68442099999,-29.092722,26.302444,1358.79,16.133028919330293
64880099999,6.7833333,11.8166667,1110.0,18.88888888888889
69960403145,32.65,-114.61667,64.9,24.302739726027394
91212041415,13.48333,144.8,77.4,27.36727549467276
94601099999,-34.3666666,115.1333333,14.0,16.718112633181125
74794699999,28.615,-80.694,3.0,21.927701674277014
72404593720,38.3409,-75.51324,14.4,13.345053272450535
14240099999,45.8166667,16.0333333,128.0,12.310045662100457
91592099999,-22.2666667,166.45,72.0,23.404718417047185
71786099999,51.45,-116.35,1602.0,0.3480974124809756
38583099999,40.8166666,68.6833333,264.0,14.898325722983259
71600099999,43.9166666,-60.0,5.0,8.077075702075701
98426099999,14.79445,120.271364,19.5,27.67872405372405
54026099999,44.5666666,120.9,266.0,7.142465753424656
99433099999,43.75,-87.69,175.9,8.149923896499239
72219699999,33.867,-84.3,306.0,16.326027397260273
47683099999,35.6666667,139.5333333,44.0,17.768595041322314
06680099999,47.25,9.35,2500.0,-0.9849315068493149
07480099999,45.727172,4.944275,200.86,12.968188736681887
72365699999,35.617,-106.083,1935.0,10.887354205033764
72230999999,29.25,-89.9666666,2.0,20.583333333333332
68180099999,-22.2666666,29.9,525.0,28.000000000000004
