station,latitute,longitude,elevation,T
74694313786,36.25771,-76.1716,1.7,16.82633181126332
52495099999,40.75,104.5,1329.0,8.530219780219781
28593099999,56.1,74.6333333,77.0,1.3657151626764887
17607099999,35.15,33.4,161.0,22.508056394763344
28711099999,54.6166666,52.8,303.0,3.439407814407814
87047099999,-24.855978,-65.486169,1246.02,17.21657509157509
48376099999,16.895989,99.25335,145.69,27.758852258852258
56312099999,29.5666666,94.4666666,3001.0,9.442612942612941
72271099999,33.233,-107.267,1481.0,16.35235920852359
58027099999,34.2833333,117.15,42.0,16.024114774114775
17270099999,37.1333333,38.7666666,549.0,18.826312576312578
94960099999,-42.45,147.4666666,462.0,9.585622710622708
06604099999,47.0,6.95,487.0,10.948565323565324
72267799999,35.0,-105.667,2160.0,9.640943683409436
89571099999,-68.5833333,77.9666666,23.0,-8.82427869858809
03717099999,51.4833333,-3.1833333,52.0,11.667579908675798
06350099999,51.567389,4.931833,14.93,10.929463171036202
48400099999,15.672997,100.136794,34.44,28.40018315018315
72586699999,42.483,-114.483,1265.0,9.431963470319634
28799099999,54.1666666,74.8,115.0,2.930211202938477
89762099999,-68.65,61.1166666,1830.0,-27.61917808219178
72635094860,42.8821,-85.52297,240.3,9.443074581430745
11138099999,47.1333333,12.6333333,2310.0,0.4427374301675968
94816099999,-36.1,140.35,31.0,15.886426592797783
47607099999,36.7166666,137.2,17.33,14.585844748858452
67341099999,-25.920836,32.572606,44.19,23.791628614916284
59632099999,21.95,108.6166666,6.0,23.036172161172164
47128099999,36.7166,127.499119,58.21,11.936986301369862
68268099999,-24.9,28.3333333,1132.0,24.111111111111114
06249099999,52.65,4.9833333,-3.0,10.484722222222226
56079099999,33.5833333,102.9666666,3441.0,2.1094276094276094
47857099999,31.877222,131.448611,6.09,18.63622526636225
72534599999,41.518,-88.176,177.0,11.30852359208523
40800099999,32.750721,51.861694,1545.94,16.694368340943683
48694099999,1.360417,103.90953,19.81,28.563797313797313
11270099999,46.7333333,13.0833333,625.0,8.963741051976342
98644099999,9.664081,123.853247,11.58,27.91449410304159
72511699999,40.117,-76.283,123.0,12.233789954337896
14447099999,43.1666667,16.45,25.0,17.667287399130974
03908099999,55.0666666,-7.0166666,5.0,10.012328767123286
72450699999,38.067,-97.85,470.0,13.201674277016744
68040099999,-21.4166667,25.6,985.0,23.200244200244203
03971099999,53.5333333,-7.3666666,100.0,9.695129375951296
60745099999,34.422022,8.822503,323.08,20.928614916286147
10476099999,51.767833,13.167667,80.77,9.661339421613397
91507099999,-8.7833333,160.7333333,11.0,28.311111111111117
06476099999,50.035833,5.404167,588.26,9.068986568986569
72306599999,35.635,-77.383,8.0,17.712176560121762
70208499999,62.783,-164.483,4.0,0.29727638502011344
78073099999,25.038958,-77.466231,4.87,26.11339421613394
02426099999,60.15,13.8,188.0,4.087301587301585
72439799999,40.467,-88.917,265.0,11.233789954337901
72638599999,44.272,-86.247,189.0,8.227853881278541
15549099999,43.5666666,26.5,347.0,11.497412480974122
58457099999,30.228333,120.431667,7.01,17.669254185692537
48698099999,1.350189,103.994433,6.7,28.13211567732115
56954099999,22.5666666,99.9333333,1054.0,20.25834098561371
72495723213,38.50369,-122.81101,36.2,13.29170492806857
68370099999,-26.4666666,29.45,838.0,17.48148148148148
27402099999,56.8833333,35.8666666,137.0,5.483257229832571
72785799999,46.75,-117.117,778.0,8.296347031963471
03007099999,60.583,-1.267,20.0,6.965753424657536
01210099999,62.560372,6.110164,21.03,8.717464702271336
95726099999,-33.3833333,149.1333333,948.0,11.9829650092081
30554099999,54.4833333,113.5833333,995.0,-4.132020757020756
03647099999,51.8666666,-1.6833333,210.0,9.760730593607304
72403513773,38.50362,-77.30503,3.0,14.48462709284627
03321099999,53.178056,-2.977778,13.71,10.484126984126984
70395025325,55.3586,-131.72196,25.7,7.017960426179602
41024099999,21.679564,39.156536,14.63,28.493302891933027
70362625323,59.24287,-135.51139,6.4,5.4293345543345515
78897099999,16.265306,-61.531806,10.97,26.495129375951294
37789099999,40.2122222,44.5297222,1013.39,11.81552511415525
78641099999,14.583272,-90.527475,1509.36,19.524554941682013
94712099999,-34.25,148.25,381.0,14.180864197530864
96481099999,4.313369,118.121953,17.37,26.790715372907155
59845099999,19.5166666,109.5833333,169.0,24.557997557997563
78793099999,8.391003,-82.434992,27.12,28.62388427208372
71113099999,49.25,-121.7666666,19.0,8.98003714020427
51818099999,37.6166666,78.2833333,1376.0,12.865408225905462
72755099999,47.5,-94.933,420.0,4.779452054794524
71865099999,51.7666666,-104.2,560.0,1.6545426642111731
78734099999,13.0833333,-85.9833333,985.0,22.389348025711666
72505999999,42.467,-71.283,42.0,10.073820395738203
94283099999,-15.433,145.183,9.0,25.32763927362266
44275099999,46.8333333,98.0833333,2255.0,-2.777625152625153
72525499999,41.338,-84.429,215.0,10.470167427701679
72226899999,31.317,-85.45,122.0,19.000915750915755
47844099999,32.666269,128.832808,83.21,18.088217338217337
74795099999,28.233,-80.6,3.0,24.42219152854512
42667099999,23.287467,77.337375,523.95,26.09978573614937
