station,latitute,longitude,elevation,T
07070099999,49.31,4.05,95.09,10.609289617486342
12455099999,51.2166666,18.5666666,201.0,8.750910746812385
48694099999,1.360417,103.90953,19.81,28.47176684881602
78361099999,20.6666666,-76.9,12.0,27.333333333333332
94553099999,-28.6166666,151.95,873.0,14.48244810744811
38836099999,38.543333,68.825,784.86,16.19884638737097
31388099999,52.35,129.9166666,208.0,-2.0795177045177047
16191099999,43.616342,13.362319,14.93,14.830145719489979
54527099999,39.1,117.1666666,5.0,13.522588522588524
71045099999,60.1666666,-132.7333333,705.0,1.1305403764420143
71208099999,53.8166666,-89.9,224.1,11.248785670916826
94631099999,-34.5666666,117.0166666,251.0,14.157559198542806
11930099999,49.2,20.2166666,2635.0,-3.642987249544627
48601099999,5.297139,100.276864,3.35,28.115513054037645
94461099999,-25.0333333,128.3,599.0,22.870522161505768
74671693808,36.96467,-86.42379,159.3,14.443230115361262
74516099999,38.267,-121.95,22.0,15.612629022465086
58437099999,30.1333333,118.15,1836.0,8.728597449908927
11174099999,47.3333333,15.0,572.0,7.830586080586086
26531099999,56.2,24.7666666,51.52,6.516089860352158
72362723081,35.50857,-108.79319,1970.3,9.522070015220699
72244799999,30.733,-95.583,111.0,20.40052035506581
17370099999,36.573472,36.154,7.62,20.377808136004862
72256013959,31.61796,-97.2283,151.9,19.233910139647833
62366099999,30.121944,31.405556,116.43,22.373102610807532
11060099999,48.3,14.2833333,263.0,9.862026862026864
94494099999,-26.6166666,144.25,198.0,23.564663023679422
16052099999,45.9333333,7.7,3488.0,-6.017901234567903
07146099999,48.751922,2.106189,163.98,11.176077717061325
37788099999,40.15,44.3833333,854.0,12.221301411909147
95572099999,-26.65,152.9333333,33.0,19.874013357619916
54539099999,39.4333333,118.9,12.0,12.149058894960538
02513099999,57.7166666,12.0,2.0,8.601495726495727
22550099999,64.600281,40.716667,18.89,2.3785670916818447
42027099999,34.0833333,74.8333333,1587.0,13.66619850187266
40785099999,33.895333,51.577044,1056.13,19.43677102516882
72576024021,42.81536,-108.72604,1698.5,7.231633272616879
72247003901,32.39094,-94.71396,107.3,18.596539162112933
60360099999,36.822225,7.809167,4.87,17.59274438372799
13586099999,41.961622,21.621381,238.04,12.268670309653913
24944099999,60.4,120.4166666,229.57,-6.9078627808136
89769099999,-78.4666666,168.3833333,50.0,6.592592592592593
03903099999,54.4,-7.65,47.0,10.009107468123862
38806099999,38.4666666,64.3666666,212.0,17.332267884322683
71945099999,58.8333333,-122.6,381.91,-0.32027929568913255
87938099999,-54.843278,-68.29575,21.64,6.77823315118397
02641099999,56.929144,14.727994,185.92,6.812841530054644
94778099999,-29.7333333,151.7333333,1062.0,15.425925925925931
33008099999,52.108334,23.898056,142.64,8.475561627200968
60738099999,35.55,8.6833333,1092.0,14.34441408621737
44225099999,48.7333333,98.2,1723.0,-3.8254185692541856
16718099999,38.063831,23.556011,43.58,18.307073466909532
56985099999,23.45,103.3333333,1313.6,19.183667273831208
94515099999,-26.55,148.7833333,304.0,19.793956043956047
02635099999,55.5666666,13.0666666,21.0,8.638281724347301
21432099999,76.0,137.8666666,8.0,-14.753017641597028
72252612947,28.45854,-99.22275,144.0,21.60154826958105
71477099999,54.15,-131.65,7.0,9.068913175470549
08306099999,39.55,2.7333333,8.0,17.38221007893139
93909099999,-47.2666666,167.45,102.0,9.446417729204619
16084099999,44.913055,9.723333,138.98,15.102435312024356
03746099999,51.152189,-1.747414,124.05,10.305100182149364
71910099999,64.2333333,-76.5333333,48.0,-8.783090467516695
11624099999,49.939653,15.381808,242.01,9.159684274438373
