station,latitute,longitude,elevation,T
41084099999,19.98435,42.620881,1184.75,26.572237526782985
72396593209,35.66936,-120.62918,249.8,14.274733637747337
16400099999,38.7,13.1833333,251.0,18.462100456621005
53231099999,41.45,106.3833333,1510.0,5.714916286149159
A0001953969,34.22556,-99.28389,385.6,19.456807081807085
04127099999,66.1666666,-23.25,27.0,3.561677379859201
23804599999,55.508,37.505,172.0,6.916742770167426
58847099999,26.0833333,119.2833333,85.0,19.750837138508366
16422099999,38.071206,15.651556,29.26,18.982496194824964
94872099999,-37.8666666,145.3333333,561.0,11.929670667897817
12650099999,49.2333333,19.9833333,1989.0,0.6633181126331817
03502099999,52.1333333,-4.5666667,134.0,10.523135464231355
72698524242,45.55098,-122.40984,7.5,11.168493150684927
17090099999,39.813828,36.903497,1595.93,7.565905631659054
02267099999,63.408339,18.990039,107.89,5.034398782343988
70272026401,61.25306,-149.79361,64.6,2.209741248097414
06780099999,46.8333333,9.8166666,2667.0,-0.486757990867578
59023099999,24.7,108.05,214.0,20.204870624048706
22235099999,67.35,37.05,156.0,0.8417047184170477
99727999999,41.7,-71.0,10.0,12.15129375951294
72750494999,46.5475,-93.67667,367.0,5.603500761035009
15535099999,43.85,25.95,45.0,12.293302891933031
45007099999,22.308919,113.914603,8.53,23.72678843226788
08215099999,40.8,-4.0166666,1888.0,8.665293040293042
98428099999,14.495364,120.904075,2.43,28.29406392694064
48830099999,21.8333333,106.7666666,263.0,20.458028083028083
72660304974,44.85694,-93.03278,249.9,8.751598173515987
71750054802,48.606,-86.28655,207.9,3.537899543378992
72435003816,37.05635,-88.77425,124.1,14.835464231354646
03281099999,54.3666666,-0.6666666,262.0,8.501077254539858
53276099999,42.4,112.9,1152.0,5.1691019786910175
36872099999,43.352072,77.040508,680.92,9.109284627092846
16531099999,40.898661,9.517628,11.27,16.668645357686454
04253099999,62.5666666,-50.4166666,22.0,-0.9258751902587529
72648794896,45.11667,-87.63333,190.5,7.128913443830571
40375099999,28.365417,36.618889,777.54,22.283882783882788
47851099999,31.803397,130.719408,276.14,16.620547945205473
16546099999,39.354222,8.972481,30.48,17.457077625570776
02219099999,64.5,14.2166666,550.0,3.0435312024353127
29813099999,53.9666666,79.2333333,144.0,1.953120243531205
72506114704,41.65,-70.51667,39.6,10.600304414003045
78355099999,21.4,-77.85,122.0,25.272584198929806
71630099999,44.974722,-79.303333,281.94,6.634094368340943
47872099999,28.430633,129.712542,8.22,22.163165905631658
72657804944,45.94917,-94.34694,342.0,5.792389649923895
17020099999,41.6333333,32.3333333,33.0,13.037087912087912
34691099999,47.9,48.8,-10.0,9.165144596651444
72618494709,44.05,-70.28333,87.8,7.779452054794518
72744014858,47.16594,-88.48076,323.9,5.480060882800611
38696099999,39.700547,66.983829,677.87,14.534550989345503
16429099999,37.911403,12.487961,7.31,17.57442922374429
71246099999,56.5333333,-115.2666666,546.0,2.0117199391172016
95640099999,-32.6666666,116.6666666,275.0,16.61126331811263
72035613999,35.53827,-98.93278,492.6,16.380517503805173
92003099999,-9.0833333,143.2,9.0,26.166666666666664
70104326623,68.35,-166.8,4.0,-5.089438339438341
94925099999,-35.4166666,149.1,588.0,12.945357686453573
10334099999,52.457333,9.427167,56.99,10.741910866910864
06664099999,47.4333333,8.5166666,441.0,10.43942161339422
48450099999,14.0166666,99.5333333,29.0,27.895909645909647
03840099999,50.8666666,-3.2333333,253.0,10.038812785388128
72406793744,39.33333,-76.41667,6.4,14.228937728937726
72793724222,47.92322,-122.28308,167.1,9.773211567732115
71831099999,49.413889,-82.4675,226.46,2.50654490106545
47189099999,33.25,126.5666666,51.0,16.721308980213095
06494099999,50.5166666,6.0666666,673.0,7.946879756468795
72646754909,45.41861,-91.77333,336.8,6.389499389499393
72040100133,35.6,-92.45,157.3,15.712707182320445
71238099999,53.6833333,-112.8666666,713.7,3.0917277167277195
72506854777,41.87561,-71.02083,8.6,10.635159817351589
14324099999,44.8166666,14.9833333,1597.0,5.4130898021309
72217423097,34.16667,-101.71667,1028.4,15.596803652968037
70291026412,62.96148,-141.93834,523.2,-4.479604261796044
95815099999,-36.1,140.3166666,28.0,14.766146311600854
94595799999,-19.634444,134.183333,376.73,23.84596651445967
71916099999,73.2333333,-119.5333333,42.0,-13.224969474969477
86575099999,-34.789208,-56.264703,53.03,17.914459665144598
02834099999,63.8333333,27.2166666,207.6,3.960775335775332
72517014737,40.64984,-75.44773,117.4,12.084627092846269
