station,latitute,longitude,elevation,T_max
76040099999,32.4,-115.1833333,11.0,42.388888888888886
40430099999,24.553422,39.705061,655.62,42.0
40377099999,27.900917,45.528194,412.08,41.166666666666664
38656099999,39.3166666,58.6,87.0,40.333333333333336
94476099999,-27.55,135.45,117.0,40.888888888888886
40794099999,32.2666666,48.4166666,83.0,41.72222222222222
62225099999,25.9333333,14.45,421.0,40.0
40420099999,25.285306,49.485189,179.22,40.55555555555556
41184099999,25.613483,55.938817,31.08,40.55555555555556
60780099999,31.704281,9.254619,252.06,41.94444444444444
41725099999,27.6666666,68.9,67.0,41.5
60603099999,29.7166666,6.7,252.0,43.22222222222222
72029304989,42.45333,-91.9475,298.1,42.27777777777778
60630599999,27.25,2.5,280.0,40.44444444444444
40357099999,30.906589,41.138217,552.6,40.05555555555556
40001099999,37.020625,41.191394,451.1,42.27777777777778
60555099999,33.067803,6.088672,85.03,40.44444444444444
72278803186,33.41667,-112.38333,295.0,40.111111111111114
41170099999,25.261125,51.565056,10.66,41.05555555555556
60620099999,27.837589,-0.186414,280.11,40.77777777777778
40812099999,32.002304,49.270668,361.79,43.22222222222222
40373099999,28.335192,46.125069,357.83,41.888888888888886
60770099999,33.35,10.4833333,117.0,41.77777777777778
72278753126,33.52722,-112.295,324.9,41.05555555555556
17210099999,37.9166666,41.95,896.0,40.166666666666664
72352803981,34.35307,-98.98762,378.2,41.05555555555556
60775099999,32.306156,10.382108,306.01,42.05555555555556
72040400134,33.85,-98.483,304.2,40.388888888888886
40416099999,26.265417,50.152027,25.6,40.22222222222222
40879099999,27.236169,60.720033,620.87,42.44444444444444
A0001953969,34.22556,-99.28389,385.6,40.94444444444444
40414099999,24.449867,44.121175,922.32,40.72222222222222
60602099999,30.1333333,-2.1666666,505.0,42.5
99999953172,34.2529,-114.134,126.8,40.05555555555556
60640099999,26.723536,8.622653,541.93,40.72222222222222
60607099999,29.237119,0.276033,313.02,42.55555555555556
40401099999,26.2938,38.0637,623.01,43.22222222222222
40621099999,35.469478,44.348933,323.39,41.5
99999953139,36.602,-117.1449,25.6,42.27777777777778
72278303185,33.46588,-111.72121,423.3,40.0
40650099999,33.2666666,44.2333333,34.74,43.22222222222222
40635699999,36.2333333,43.9666666,408.73,40.833333333333336
40831099999,30.371111,48.228333,3.04,41.72222222222222
40829099999,31.098333,61.543889,496.21,40.888888888888886
72380523179,34.76783,-114.61842,270.6,40.611111111111114
41198099999,25.112225,56.323964,46.32,41.72222222222222
60559099999,33.511397,6.776794,61.87,40.94444444444444
41592599999,27.721989,68.791683,58.21,41.111111111111114
72215253957,36.43667,-99.52083,666.9,40.22222222222222
38388099999,41.0333333,57.7666666,62.0,40.77777777777778
40689099999,30.549069,47.662142,3.35,42.888888888888886
60633099999,23.2166666,2.5833333,443.0,41.44444444444444
40833099999,30.74545,49.676261,26.82,41.44444444444444
72028153969,34.22556,-99.28389,385.6,41.0
60656099999,27.700372,-8.167103,442.87,41.111111111111114
41697099999,29.55,67.8833333,134.0,41.94444444444444
40582099999,29.226567,47.968928,62.78,42.833333333333336
60638099999,28.447028,7.552411,480.06,43.05555555555556
40811099999,31.337444,48.762138,20.11,42.72222222222222
60590099999,30.571294,2.859586,398.06,40.05555555555556
40712599999,27.820422,52.35215,662.02,42.166666666666664
41256099999,23.593278,58.284444,14.63,40.666666666666664
60650099999,26.4166666,5.3666666,614.0,41.111111111111114
40780199999,30.556192,49.151879,2.43,41.388888888888886
40608099999,36.305761,43.147397,216.1,41.166666666666664
