station,latitute,longitude,elevation,T_max
62103099999,30.151695,9.715305,341.98,40.611111111111114
40361099999,29.785133,40.100006,689.15,41.888888888888886
41749099999,26.219442,68.390053,28.34,40.833333333333336
60760099999,33.939722,8.110556,87.47,40.333333333333336
40430099999,24.553422,39.705061,655.62,41.333333333333336
40377099999,27.900917,45.528194,412.08,43.05555555555556
40362099999,29.626419,43.490614,449.27,41.333333333333336
72380523179,34.76783,-114.61842,270.6,43.05555555555556
72278023183,33.4278,-112.00365,339.2,40.166666666666664
62660099999,18.55,31.85,249.0,40.5
69122499999,75.2,5.0,66.2,5537.722222222223
41170099999,25.261125,51.565056,10.66,40.0
15520099999,67.9,4.0,56.8,545.2777777777778
41184099999,25.613483,55.938817,31.08,40.72222222222222
40420099999,25.285306,49.485189,179.22,40.666666666666664
61024099999,16.9666666,7.9666666,505.05,40.44444444444444
40410099999,25.6666666,39.3,754.0,41.5
69677499999,33.8,7.0,18.1,551.1666666666666
94480099999,-29.65,138.0666666,51.0,42.166666666666664
41196099999,25.328575,55.51715,33.83,41.111111111111114
40417099999,26.45,49.8166666,12.0,40.0
41218099999,24.261667,55.609167,264.87,40.22222222222222
15637099999,64.6,4.0,55.3,546.6666666666666
40582099999,29.226567,47.968928,62.78,41.5
40373099999,28.335192,46.125069,357.83,41.44444444444444
76005399999,32.630634,-115.241637,22.55,40.5
69542499999,65.8,4.0,48.7,543.3888888888889
60770099999,33.35,10.4833333,117.0,40.333333333333336
40357099999,30.906589,41.138217,552.6,42.888888888888886
40438099999,24.721944,46.724722,635.2,40.22222222222222
15611099999,78.3,4.0,54.7,545.9444444444445
94485099999,-29.4333333,142.0,184.0,40.111111111111114
72278499999,33.688,-112.083,450.0,41.111111111111114
40811099999,31.337444,48.762138,20.11,42.5
74718823158,33.61876,-114.71451,120.4,42.22222222222222
41240099999,26.2166666,56.25,4.0,41.22222222222222
72278999999,33.623,-111.911,460.0,40.388888888888886
72378899999,35.15,-114.567,212.0,43.111111111111114
62600099999,21.8166667,31.4833333,183.0,40.5
60775099999,32.306156,10.382108,306.01,42.611111111111114
72278899999,33.417,-112.383,295.0,40.666666666666664
