station,latitute,longitude,elevation,T_max
40833099999,30.74545,49.676261,26.82,41.44444444444444
40829099999,31.098333,61.543889,496.21,40.333333333333336
40635699999,36.2333333,43.9666666,408.73,41.333333333333336
72278023183,33.4278,-112.00365,339.2,40.166666666666664
40430099999,24.553422,39.705061,655.62,41.611111111111114
41218099999,24.261667,55.609167,264.87,40.611111111111114
40872099999,27.8333333,51.9333333,4.0,40.388888888888886
40415099999,26.4333333,49.8,12.0,40.166666666666664
40373099999,28.335192,46.125069,357.83,42.333333333333336
40592099999,28.5666666,48.0666666,107.12,41.55555555555556
74718703104,33.63166,-116.16412,-36.0,40.94444444444444
72278803186,33.41667,-112.38333,295.0,41.77777777777778
40854099999,29.083925,58.450397,940.0,40.0
41256099999,23.593278,58.284444,14.63,41.0
41272099999,23.8166666,57.2833333,39.0,40.05555555555556
41725099999,27.6666666,68.9,67.0,41.0
72286893138,33.82216,-116.50433,124.7,41.5
48407599999,15.229539,103.253231,179.83,40.388888888888886
72278753126,33.52722,-112.295,324.9,42.44444444444444
41194099999,25.254997,55.364278,10.36,41.44444444444444
60280099999,29.0166666,-10.0666666,341.0,40.833333333333336
41280099999,23.5,58.4833333,105.0,41.666666666666664
74718823158,33.61876,-114.71451,120.4,41.44444444444444
40780199999,30.556192,49.151879,2.43,40.611111111111114
40420099999,25.285306,49.485189,179.22,41.611111111111114
41592599999,27.721989,68.791683,58.21,41.0
40877099999,27.9666666,57.7,470.0,40.5
40794099999,32.2666666,48.4166666,83.0,40.22222222222222
42435099999,25.75,71.3833333,194.0,41.22222222222222
40405099999,26.3,43.7666666,648.0,41.27777777777778
72288703180,34.1,-117.78333,308.2,41.22222222222222
42328099999,26.9,70.9166666,231.0,40.888888888888886
41240099999,26.2166666,56.25,4.0,40.611111111111114
40401099999,26.2938,38.0637,623.01,42.888888888888886
41712099999,28.8833333,64.4,850.0,40.05555555555556
40585099999,29.35,48.1,7.91,40.611111111111114
40812099999,32.002304,49.270668,361.79,42.94444444444444
40650099999,33.2666666,44.2333333,34.74,41.611111111111114
41184099999,25.613483,55.938817,31.08,40.72222222222222
60692099999,19.57,5.75,400.0,40.77777777777778
61679099999,14.146881,-16.051297,7.92,40.611111111111114
40811099999,31.337444,48.762138,20.11,41.44444444444444
40550099999,30.0666666,47.6833333,25.18,42.833333333333336
00841899999,82.9,12.0,71.4,544.4444444444445
40416099999,26.265417,50.152027,25.6,42.111111111111114
61235099999,15.1166666,-10.5666666,100.0,41.333333333333336
72278523111,33.55,-112.36667,330.7,40.94444444444444
40587099999,29.2666666,47.7166666,54.0,43.05555555555556
40712599999,27.820422,52.35215,662.02,41.833333333333336
60640099999,26.723536,8.622653,541.93,40.166666666666664
00841199999,81.6,12.0,71.9,544.8333333333334
72274953128,33.26889,-111.81278,378.9,40.0
41217099999,24.432972,54.651138,26.82,41.666666666666664
60580099999,31.917223,5.412778,149.96,40.44444444444444
51573099999,42.95,89.2297222,39.3,40.388888888888886
40377099999,27.900917,45.528194,412.08,43.22222222222222
42343099999,26.45,74.6166666,486.0,40.22222222222222
62423099999,27.05,27.9833333,78.0,40.388888888888886
40582099999,29.226567,47.968928,62.78,42.833333333333336
41244099999,24.2333333,55.7833333,299.0,41.0
40362099999,29.626419,43.490614,449.27,40.833333333333336
41170099999,25.261125,51.565056,10.66,41.55555555555556
40879099999,27.236169,60.720033,620.87,41.44444444444444
60620099999,27.837589,-0.186414,280.11,41.77777777777778
00841599999,81.4,12.0,70.5,544.4444444444445
42170099999,28.25,74.9166666,291.0,40.77777777777778
42542099999,24.617697,73.8961,513.28,40.666666666666664
41267099999,22.6666666,59.4,11.0,40.5
40357099999,30.906589,41.138217,552.6,40.611111111111114
61017099999,18.6833333,12.9166666,357.0,40.111111111111114
61024099999,16.9666666,7.9666666,505.05,41.05555555555556
41216099999,24.428333,54.458084,4.87,40.5
60602099999,30.1333333,-2.1666666,505.0,42.111111111111114
41715099999,28.284167,68.449711,56.38,40.27777777777778
99999953139,36.602,-117.1449,25.6,43.27777777777778
00841499999,57.8,11.0,22.8,551.1666666666666
60607099999,29.237119,0.276033,313.02,40.77777777777778
64756099999,13.847,20.844333,544.98,40.666666666666664
41710099999,28.8166666,62.75,683.0,41.0
41196099999,25.328575,55.51715,33.83,40.5
60581099999,31.672972,6.140444,141.12,41.55555555555556
61630099999,15.65,-13.25,17.0,40.22222222222222
72378853135,35.15722,-114.55944,211.8,42.05555555555556
60775099999,32.306156,10.382108,306.01,40.44444444444444
40414099999,24.449867,44.121175,922.32,40.72222222222222
60772099999,32.9166666,10.45,215.0,40.5
17282199999,37.3666666,42.5666666,621.0,42.0
