station,latitute,longitude,elevation,T_max
41198099999,25.112225,56.323964,46.32,40.166666666666664
40829099999,31.098333,61.543889,496.21,40.44444444444444
41710099999,28.8166666,62.75,683.0,40.111111111111114
40582099999,29.226567,47.968928,62.78,43.27777777777778
17275099999,37.3,40.7333333,1050.0,41.44444444444444
62393099999,27.046508,31.011983,235.3,42.166666666666664
40585099999,29.35,48.1,7.91,41.611111111111114
17282199999,37.3666666,42.5666666,621.0,42.611111111111114
40357099999,30.906589,41.138217,552.6,40.611111111111114
40439099999,24.144244,38.06335,7.92,41.5
41246099999,24.4666666,56.65,2.0,40.611111111111114
40414099999,24.449867,44.121175,922.32,40.27777777777778
41256099999,23.593278,58.284444,14.63,41.111111111111114
72278303185,33.46588,-111.72121,423.3,40.55555555555556
41194099999,25.254997,55.364278,10.36,41.666666666666664
40691099999,29.9833333,48.5,2.0,41.5
40361099999,29.785133,40.100006,689.15,40.166666666666664
40635699999,36.2333333,43.9666666,408.73,40.55555555555556
60620099999,27.837589,-0.186414,280.11,40.888888888888886
40373099999,28.335192,46.125069,357.83,41.77777777777778
60660099999,25.2666666,3.7333333,556.0,41.72222222222222
62435099999,25.45,30.5333333,73.0,40.44444444444444
38799099999,38.0833333,62.8,185.0,40.05555555555556
40592099999,28.5666666,48.0666666,107.12,41.44444444444444
74718823158,33.61876,-114.71451,120.4,40.0
72380523179,34.76783,-114.61842,270.6,41.05555555555556
60280099999,29.0166666,-10.0666666,341.0,40.611111111111114
41240099999,26.2166666,56.25,4.0,43.166666666666664
60630599999,27.25,2.5,280.0,41.666666666666664
40430099999,24.553422,39.705061,655.62,41.05555555555556
72278803186,33.41667,-112.38333,295.0,41.77777777777778
40587099999,29.2666666,47.7166666,54.0,42.888888888888886
60735099999,35.6666667,10.1,68.0,40.111111111111114
41170099999,25.261125,51.565056,10.66,41.666666666666664
38403099999,41.75,62.4666666,98.0,40.44444444444444
40791099999,33.66775,56.892675,704.69,41.27777777777778
72378853135,35.15722,-114.55944,211.8,40.27777777777778
94429099999,-28.1166666,117.8333333,408.0,40.611111111111114
40650099999,33.2666666,44.2333333,34.74,42.111111111111114
40420099999,25.285306,49.485189,179.22,41.22222222222222
61024099999,16.9666666,7.9666666,505.05,40.611111111111114
72278753126,33.52722,-112.295,324.9,41.833333333333336
40879099999,27.236169,60.720033,620.87,41.333333333333336
76005399999,32.630634,-115.241637,22.55,40.333333333333336
41194599999,24.88611,55.17222,18.9,40.388888888888886
41218099999,24.261667,55.609167,264.87,40.77777777777778
41217099999,24.432972,54.651138,26.82,41.5
