station,latitute,longitude,elevation,T_max
60602099999,30.1333333,-2.1666666,505.0,42.77777777777778
60459199999,32.917,3.3,794.0,41.111111111111114
72278023183,33.4278,-112.00365,339.2,40.55555555555556
41170099999,25.261125,51.565056,10.66,41.55555555555556
76005399999,32.630634,-115.241637,22.55,40.0
40582099999,29.226567,47.968928,62.78,42.77777777777778
41240099999,26.2166666,56.25,4.0,40.22222222222222
94316099999,-23.1666666,117.75,424.0,40.27777777777778
60581099999,31.672972,6.140444,141.12,42.111111111111114
41263099999,22.9122222,57.2572222,592.0,40.55555555555556
40791099999,33.66775,56.892675,704.69,40.5
72378853135,35.15722,-114.55944,211.8,42.27777777777778
94321099999,-23.2666666,129.3666666,455.0,40.22222222222222
41246099999,24.4666666,56.65,2.0,41.0
41265099999,22.8094444,58.4605556,469.0,41.22222222222222
60630599999,27.25,2.5,280.0,42.833333333333336
60603099999,29.7166666,6.7,252.0,43.22222222222222
38388099999,41.0333333,57.7666666,62.0,41.5
41256099999,23.593278,58.284444,14.63,40.666666666666664
40794099999,32.2666666,48.4166666,83.0,41.888888888888886
61017099999,18.6833333,12.9166666,357.0,40.611111111111114
95317099999,-21.1833333,119.75,183.0,40.111111111111114
41292099999,22.5166666,58.1166666,378.0,40.27777777777778
60760099999,33.939722,8.110556,87.47,40.666666666666664
60580099999,31.917223,5.412778,149.96,42.94444444444444
40835099999,30.337567,50.827964,729.69,40.05555555555556
40712599999,27.820422,52.35215,662.02,43.0
74718703104,33.63166,-116.16412,-36.0,41.888888888888886
40405099999,26.3,43.7666666,648.0,40.44444444444444
40829099999,31.098333,61.543889,496.21,41.55555555555556
60555099999,33.067803,6.088672,85.03,42.0
17282199999,37.3666666,42.5666666,621.0,40.94444444444444
38656099999,39.3166666,58.6,87.0,40.44444444444444
61024099999,16.9666666,7.9666666,505.05,41.0
41184099999,25.613483,55.938817,31.08,40.27777777777778
40872099999,27.8333333,51.9333333,4.0,42.166666666666664
69015093121,34.294,-116.14722,610.5,40.166666666666664
74505753130,34.25917,-118.41333,305.7,40.0
17210099999,37.9166666,41.95,896.0,40.333333333333336
41170599999,25.117317,51.314989,39.62,40.44444444444444
60640099999,26.723536,8.622653,541.93,40.44444444444444
74718503144,32.83464,-115.57656,-16.8,40.166666666666664
41216099999,24.428333,54.458084,4.87,41.05555555555556
40420099999,25.285306,49.485189,179.22,41.22222222222222
41266099999,22.633,58.667,1100.0,40.0
40877099999,27.9666666,57.7,470.0,41.166666666666664
41710099999,28.8166666,62.75,683.0,40.55555555555556
99999953154,32.835,-114.1884,189.0,40.166666666666664
40373099999,28.335192,46.125069,357.83,40.666666666666664
41194599999,24.88611,55.17222,18.9,40.55555555555556
60525099999,34.793289,5.738231,88.08,41.94444444444444
72380523179,34.76783,-114.61842,270.6,43.333333333333336
72286893138,33.82216,-116.50433,124.7,42.05555555555556
72281023199,32.83241,-115.66377,-14.1,40.22222222222222
42675099999,23.177817,80.052047,494.99,40.27777777777778
41170399999,25.2666666,51.6,3.96,40.27777777777778
60515099999,35.3325,4.206389,459.02,40.888888888888886
60620099999,27.837589,-0.186414,280.11,42.27777777777778
41194099999,25.254997,55.364278,10.36,40.611111111111114
40416099999,26.265417,50.152027,25.6,41.111111111111114
41217099999,24.432972,54.651138,26.82,41.833333333333336
72278753126,33.52722,-112.295,324.9,42.0
60191099999,32.3666666,-6.4,472.0,40.22222222222222
72278803186,33.41667,-112.38333,295.0,41.44444444444444
41218099999,24.261667,55.609167,264.87,41.888888888888886
95480099999,-29.6666666,138.0666666,51.0,40.22222222222222
41198099999,25.112225,56.323964,46.32,40.72222222222222
40401099999,26.2938,38.0637,623.01,41.888888888888886
60780099999,31.704281,9.254619,252.06,42.94444444444444
41255099999,22.8666666,57.55,462.0,40.666666666666664
60559099999,33.511397,6.776794,61.87,42.388888888888886
72274953128,33.26889,-111.81278,378.9,41.111111111111114
60566099999,32.384106,3.794114,460.85,41.166666666666664
72278303185,33.46588,-111.72121,423.3,41.0
40430099999,24.553422,39.705061,655.62,41.333333333333336
40414099999,24.449867,44.121175,922.32,40.22222222222222
74718823158,33.61876,-114.71451,120.4,41.166666666666664
40780199999,30.556192,49.151879,2.43,40.94444444444444
40879099999,27.236169,60.720033,620.87,42.333333333333336
60607099999,29.237119,0.276033,313.02,42.72222222222222
