station,latitute,longitude,elevation,T_max
38413099999,41.7333333,64.6166667,238.0,40.333333333333336
40594099999,28.55,48.3833333,20.6,41.611111111111114
40581099999,29.3833333,48.0,7.49,43.22222222222222
40712599999,27.820422,52.35215,662.02,42.0
40414099999,24.449867,44.121175,922.32,41.833333333333336
72378853135,35.15722,-114.55944,211.8,40.388888888888886
60581099999,31.672972,6.140444,141.12,40.888888888888886
60650099999,26.4166666,5.3666666,614.0,40.22222222222222
41218099999,24.261667,55.609167,264.87,40.833333333333336
41710099999,28.8166666,62.75,683.0,41.22222222222222
60602099999,30.1333333,-2.1666666,505.0,42.166666666666664
41216099999,24.428333,54.458084,4.87,41.55555555555556
99999953139,36.602,-117.1449,25.6,43.0
72380523179,34.76783,-114.61842,270.6,41.166666666666664
40552099999,29.6166666,47.5833333,120.5,42.27777777777778
40438099999,24.721944,46.724722,635.2,41.833333333333336
40199099999,29.561281,34.960081,12.8,40.27777777777778
60580099999,31.917223,5.412778,149.96,40.05555555555556
61235099999,15.1166666,-10.5666666,100.0,41.666666666666664
40551099999,29.8166666,47.35,119.46,42.94444444444444
40791099999,33.66775,56.892675,704.69,40.05555555555556
41196099999,25.328575,55.51715,33.83,41.0
41252099999,23.2333333,56.4333333,327.0,40.77777777777778
40582099999,29.226567,47.968928,62.78,43.166666666666664
62366199999,25.557111,34.582028,76.5,40.27777777777778
62419099999,22.375953,31.611722,187.75,40.166666666666664
41712099999,28.8833333,64.4,850.0,40.611111111111114
40568099999,29.7666666,48.3666666,5.93,40.55555555555556
60525099999,34.793289,5.738231,88.08,40.44444444444444
41217099999,24.432972,54.651138,26.82,41.44444444444444
40651499999,33.523861,44.256748,36.88,42.333333333333336
41061099999,20.504275,45.199556,628.49,40.94444444444444
40829099999,31.098333,61.543889,496.21,40.666666666666664
74505753130,34.25917,-118.41333,305.7,40.333333333333336
41678099999,29.95,73.25,163.0,40.5
72035853999,35.47278,-98.00583,431.9,40.0
40655999999,32.8,44.45,27.0,41.77777777777778
40650699999,33.940194,44.361583,49.07,41.388888888888886
40580099999,29.3,47.9333333,21.31,42.0
41194099999,25.254997,55.364278,10.36,41.55555555555556
41170599999,25.117317,51.314989,39.62,42.77777777777778
40650899999,34.673231,43.542994,137.46,41.833333333333336
40608099999,36.305761,43.147397,216.1,41.05555555555556
60630599999,27.25,2.5,280.0,41.22222222222222
40573099999,29.3666666,46.9666666,232.42,41.888888888888886
60775099999,32.306156,10.382108,306.01,42.388888888888886
40420099999,25.285306,49.485189,179.22,42.111111111111114
40587099999,29.2666666,47.7166666,54.0,43.27777777777778
60633099999,23.2166666,2.5833333,443.0,41.111111111111114
41170099999,25.261125,51.565056,10.66,42.22222222222222
72278753126,33.52722,-112.295,324.9,41.22222222222222
40072099999,34.4166666,40.9166666,182.0,40.333333333333336
40439099999,24.144244,38.06335,7.92,40.666666666666664
62271099999,24.178728,23.313958,416.66,40.166666666666664
60150099999,33.879067,-5.515125,576.07,41.111111111111114
72286893138,33.82216,-116.50433,124.7,42.55555555555556
62200099999,26.6,12.7833333,463.0,41.05555555555556
40898099999,25.2833333,60.6166666,8.0,42.0
60607099999,29.237119,0.276033,313.02,40.94444444444444
40430099999,24.553422,39.705061,655.62,41.833333333333336
40592099999,28.5666666,48.0666666,107.12,42.5
60559099999,33.511397,6.776794,61.87,40.5
40570099999,29.1,46.6833333,289.49,41.611111111111114
60660099999,25.2666666,3.7333333,556.0,42.05555555555556
40621099999,35.469478,44.348933,323.39,42.111111111111114
40377099999,27.900917,45.528194,412.08,40.833333333333336
40373099999,28.335192,46.125069,357.83,41.77777777777778
40340099999,29.611619,35.018067,53.34,40.111111111111114
40585099999,29.35,48.1,7.91,41.611111111111114
41198099999,25.112225,56.323964,46.32,40.55555555555556
60780099999,31.704281,9.254619,252.06,42.166666666666664
62176099999,29.75,24.5333333,-1.0,41.333333333333336
40590099999,29.0666666,47.5333333,188.0,41.72222222222222
61024099999,16.9666666,7.9666666,505.05,42.666666666666664
40879099999,27.236169,60.720033,620.87,41.5
