station,latitute,longitude,elevation,T_max
41218099999,24.261667,55.609167,264.87,40.22222222222222
40680099999,31.85,47.1666666,9.0,41.27777777777778
40691099999,29.9833333,48.5,2.0,41.888888888888886
40373099999,28.335192,46.125069,357.83,40.22222222222222
76160099999,29.095858,-111.047858,191.1,42.27777777777778
40439099999,24.144244,38.06335,7.92,41.111111111111114
17275099999,37.3,40.7333333,1050.0,40.888888888888886
40665099999,32.1333333,46.0333333,15.0,40.888888888888886
42867099999,21.092192,79.047183,314.85,40.666666666666664
41592599999,27.721989,68.791683,58.21,40.166666666666664
72278753126,33.52722,-112.295,324.9,41.55555555555556
60607099999,29.237119,0.276033,313.02,41.55555555555556
60780099999,31.704281,9.254619,252.06,43.111111111111114
60660099999,25.2666666,3.7333333,556.0,41.888888888888886
41697099999,29.55,67.8833333,134.0,41.888888888888886
60638099999,28.447028,7.552411,480.06,43.0
40712599999,27.820422,52.35215,662.02,41.77777777777778
61024099999,16.9666666,7.9666666,505.05,41.111111111111114
60620099999,27.837589,-0.186414,280.11,41.94444444444444
41170099999,25.261125,51.565056,10.66,41.0
40582099999,29.226567,47.968928,62.78,42.77777777777778
72380523179,34.76783,-114.61842,270.6,40.388888888888886
17098199999,37.978886,41.840436,609.9,40.111111111111114
95317099999,-21.1833333,119.75,183.0,40.27777777777778
40609099999,35.9166666,42.7166666,200.0,42.05555555555556
40831099999,30.371111,48.228333,3.04,40.888888888888886
40414099999,24.449867,44.121175,922.32,40.833333333333336
42571099999,24.5666667,80.8333333,317.0,40.166666666666664
95668099999,-33.7666666,140.1166666,55.0,40.05555555555556
72274953128,33.26889,-111.81278,378.9,40.0
60566099999,32.384106,3.794114,460.85,40.55555555555556
62393099999,27.046508,31.011983,235.3,41.611111111111114
41725099999,27.6666666,68.9,67.0,40.166666666666664
60580099999,31.917223,5.412778,149.96,42.55555555555556
60775099999,32.306156,10.382108,306.01,42.27777777777778
17282199999,37.3666666,42.5666666,621.0,41.666666666666664
40650099999,33.2666666,44.2333333,34.74,40.166666666666664
99999953139,36.602,-117.1449,25.6,43.166666666666664
60692099999,19.57,5.75,400.0,40.72222222222222
41256099999,23.593278,58.284444,14.63,40.888888888888886
60630599999,27.25,2.5,280.0,42.22222222222222
41240099999,26.2166666,56.25,4.0,40.27777777777778
76005399999,32.630634,-115.241637,22.55,40.111111111111114
40829099999,31.098333,61.543889,496.21,40.94444444444444
40879099999,27.236169,60.720033,620.87,40.666666666666664
94476099999,-27.55,135.45,117.0,40.22222222222222
60590099999,30.571294,2.859586,398.06,40.388888888888886
41268099999,22.5333333,59.4833333,14.0,40.27777777777778
61401099999,25.236697,-11.588697,363.93,40.05555555555556
40811099999,31.337444,48.762138,20.11,41.833333333333336
60581099999,31.672972,6.140444,141.12,43.111111111111114
40430099999,24.553422,39.705061,655.62,40.666666666666664
40670099999,31.95,44.3166666,32.0,41.111111111111114
41715099999,28.284167,68.449711,56.38,40.833333333333336
72278303185,33.46588,-111.72121,423.3,40.333333333333336
