station,latitute,longitude,elevation,T_max
40689099999,30.549069,47.662142,3.35,41.55555555555556
40812099999,32.002304,49.270668,361.79,42.0
95492099999,-27.986389,143.810833,131.97,40.333333333333336
40676099999,31.0166666,46.2333333,3.0,42.111111111111114
40373099999,28.335192,46.125069,357.83,40.27777777777778
74718823158,33.61876,-114.71451,120.4,41.166666666666664
40791099999,33.66775,56.892675,704.69,40.5
60638099999,28.447028,7.552411,480.06,41.666666666666664
40712599999,27.820422,52.35215,662.02,40.55555555555556
76005399999,32.630634,-115.241637,22.55,40.72222222222222
41592599999,27.721989,68.791683,58.21,40.888888888888886
94450099999,-28.8833333,121.3166666,370.0,40.333333333333336
40430099999,24.553422,39.705061,655.62,41.888888888888886
60581099999,31.672972,6.140444,141.12,41.05555555555556
41712099999,28.8833333,64.4,850.0,41.388888888888886
41196099999,25.328575,55.51715,33.83,40.833333333333336
60580099999,31.917223,5.412778,149.96,43.0
41030099999,21.4333333,39.7666666,240.0,41.77777777777778
99999953156,33.3471,-112.0832,427.9,40.166666666666664
41697099999,29.55,67.8833333,134.0,40.666666666666664
60620099999,27.837589,-0.186414,280.11,41.611111111111114
72380523179,34.76783,-114.61842,270.6,42.333333333333336
72278803186,33.41667,-112.38333,295.0,41.888888888888886
41216299999,24.248249,54.547722,23.16,40.55555555555556
40414099999,24.449867,44.121175,922.32,41.166666666666664
41675099999,30.203222,71.419111,121.92,40.44444444444444
42452099999,25.160219,75.845631,273.1,40.166666666666664
42165099999,28.0,73.3,224.0,40.0
60607099999,29.237119,0.276033,313.02,40.72222222222222
40829099999,31.098333,61.543889,496.21,41.0
72278753126,33.52722,-112.295,324.9,43.22222222222222
41641099999,31.521564,74.403594,217.01,40.27777777777778
41640099999,31.55,74.3333333,214.0,40.05555555555556
72278303185,33.46588,-111.72121,423.3,43.111111111111114
40656099999,32.5666666,44.05,29.0,40.22222222222222
60590099999,30.571294,2.859586,398.06,40.22222222222222
60692099999,19.57,5.75,400.0,40.5
40680099999,31.85,47.1666666,9.0,41.666666666666664
40420099999,25.285306,49.485189,179.22,40.166666666666664
41218099999,24.261667,55.609167,264.87,40.77777777777778
41715099999,28.284167,68.449711,56.38,41.5
40670099999,31.95,44.3166666,32.0,40.05555555555556
60620199999,21.333,0.95,398.0,42.166666666666664
40401099999,26.2938,38.0637,623.01,43.22222222222222
40879099999,27.236169,60.720033,620.87,41.888888888888886
94457099999,-26.1333333,126.5833333,460.0,40.111111111111114
99999953172,34.2529,-114.134,126.8,40.388888888888886
99999953139,36.602,-117.1449,25.6,43.22222222222222
40831099999,30.371111,48.228333,3.04,41.27777777777778
40621099999,35.469478,44.348933,323.39,40.5
60630599999,27.25,2.5,280.0,41.166666666666664
95487099999,-27.4166666,141.8166666,115.0,40.333333333333336
72386023169,36.0719,-115.16343,662.8,40.5
41194099999,25.254997,55.364278,10.36,41.94444444444444
40811099999,31.337444,48.762138,20.11,40.22222222222222
74614023112,36.25,-115.03333,570.0,40.22222222222222
40582099999,29.226567,47.968928,62.78,43.166666666666664
61024099999,16.9666666,7.9666666,505.05,41.111111111111114
40691099999,29.9833333,48.5,2.0,42.27777777777778
74718703104,33.63166,-116.16412,-36.0,40.833333333333336
40377099999,27.900917,45.528194,412.08,43.0
72278023183,33.4278,-112.00365,339.2,40.388888888888886
61498099999,16.589983,-11.406208,128.93,41.833333333333336
72209653127,35.97611,-115.1325,749.2,40.05555555555556
41217099999,24.432972,54.651138,26.82,40.44444444444444
72378853135,35.15722,-114.55944,211.8,41.388888888888886
72011053983,30.78361,-98.66194,335.9,40.0
99999953154,32.835,-114.1884,189.0,40.0
