station,latitute,longitude,elevation,T_max
60660099999,25.2666666,3.7333333,556.0,41.55555555555556
60515099999,35.3325,4.206389,459.02,42.166666666666664
41252099999,23.2333333,56.4333333,327.0,41.166666666666664
60780099999,31.704281,9.254619,252.06,42.666666666666664
41198099999,25.112225,56.323964,46.32,42.55555555555556
40416099999,26.265417,50.152027,25.6,40.72222222222222
40550099999,30.0666666,47.6833333,25.18,41.72222222222222
41240099999,26.2166666,56.25,4.0,43.22222222222222
40590099999,29.0666666,47.5333333,188.0,41.72222222222222
40586099999,29.3166666,47.6666666,55.51,42.05555555555556
60607099999,29.237119,0.276033,313.02,40.77777777777778
41712099999,28.8833333,64.4,850.0,41.833333333333336
41242099999,25.6166666,56.25,10.0,40.888888888888886
41257099999,23.2544444,57.9275,417.0,40.77777777777778
40568099999,29.7666666,48.3666666,5.93,40.666666666666664
61235099999,15.1166666,-10.5666666,100.0,40.05555555555556
41253099999,23.4166666,57.4333333,322.0,40.72222222222222
41264099999,22.5,57.3666666,328.0,40.333333333333336
40621099999,35.469478,44.348933,323.39,40.0
72545404903,41.27583,-91.67333,229.8,41.833333333333336
62103099999,30.151695,9.715305,341.98,40.72222222222222
72380523179,34.76783,-114.61842,270.6,41.611111111111114
41263099999,22.9122222,57.2572222,592.0,40.666666666666664
41256099999,23.593278,58.284444,14.63,41.5
40377099999,27.900917,45.528194,412.08,40.833333333333336
40438099999,24.721944,46.724722,635.2,40.388888888888886
60252099999,30.324997,-9.413067,76.2,40.111111111111114
60620099999,27.837589,-0.186414,280.11,41.55555555555556
60602099999,30.1333333,-2.1666666,505.0,41.77777777777778
40420099999,25.285306,49.485189,179.22,40.27777777777778
40341599999,24.06072,47.41081,426.72,40.27777777777778
40594099999,28.55,48.3833333,20.6,41.888888888888886
72278753126,33.52722,-112.295,324.9,41.5
99999953139,36.602,-117.1449,25.6,43.333333333333336
60650099999,26.4166666,5.3666666,614.0,41.27777777777778
40582099999,29.226567,47.968928,62.78,42.27777777777778
61024099999,16.9666666,7.9666666,505.05,40.833333333333336
60580099999,31.917223,5.412778,149.96,40.166666666666664
40570099999,29.1,46.6833333,289.49,40.94444444444444
40573099999,29.3666666,46.9666666,232.42,41.111111111111114
40587099999,29.2666666,47.7166666,54.0,43.111111111111114
40831099999,30.371111,48.228333,3.04,42.0
40373099999,28.335192,46.125069,357.83,40.72222222222222
60492099999,35.75,0.6166666,94.0,41.388888888888886
60630599999,27.25,2.5,280.0,41.5
72378853135,35.15722,-114.55944,211.8,40.44444444444444
42131099999,29.179444,75.755336,213.36,40.611111111111114
40811099999,31.337444,48.762138,20.11,41.44444444444444
41710099999,28.8166666,62.75,683.0,42.166666666666664
40581099999,29.3833333,48.0,7.49,41.833333333333336
60775099999,32.306156,10.382108,306.01,41.0
41170099999,25.261125,51.565056,10.66,41.55555555555556
74718823158,33.61876,-114.71451,120.4,40.333333333333336
72278803186,33.41667,-112.38333,295.0,41.5
40635599999,30.935758,46.090111,6.09,42.72222222222222
40551099999,29.8166666,47.35,119.46,41.55555555555556
40414099999,24.449867,44.121175,922.32,42.0
40651499999,33.523861,44.256748,36.88,40.5
40592099999,28.5666666,48.0666666,107.12,41.44444444444444
